Owner,Vehicle Type,Vehicle Number,Vehicle Status,Facility,Location,Load,Yard Dwell Time,Location Dwell Time
BIDH,Trailer,7324648,Empty,HDA3,PS212,,"3 day(s), 23 hour(s), 25 minute(s)","3 day(s), 19 hour(s), 41 minute(s)"
BIDH,Skirted Trailer,7321684,Empty,HBN2,PS301,,"3 day(s), 23 hour(s), 25 minute(s)","3 day(s), 17 hour(s), 28 minute(s)"
BIDH,Skirted Trailer,G000049,Empty,MQJA,PS452,,"3 day(s), 22 hour(s), 28 minute(s)","2 day(s), 9 hour(s), 55 minute(s)"
BIDH,Trailer,7328667,Empty,HBI1,PS202-2,,"3 day(s), 22 hour(s), 46 minute(s)","3 day(s), 20 hour(s), 52 minute(s)"
BIDH,Trailer,PTLZ220806,Empty,SAT6,DD162,,"3 day(s), 21 hour(s), 42 minute(s)","3 day(s), 20 hour(s), 9 minute(s)"
BIDH,Trailer,1932645PLA,Empty,TPAA,PS563,,"3 day(s), 21 hour(s), 36 minute(s)","3 day(s), 19 hour(s), 4 minute(s)"
BIDH,Skirted Trailer,W98377,Empty,DTW3,PS527,,"3 day(s), 20 hour(s), 31 minute(s)","3 day(s), 20 hour(s), 31 minute(s)"
BIDH,Skirted Trailer,7321329,Empty,MQJA,PS313,,"3 day(s), 17 hour(s), 53 minute(s)","2 day(s), 22 hour(s), 1 minute(s)"
BIDH,Skirted Trailer,7324537,Empty,COS5,PS794,,"3 day(s), 16 hour(s), 29 minute(s)","2 day(s), 11 hour(s), 23 minute(s)"
BIDH,Trailer,7322917,Empty,RFD4,PS715,,"3 day(s), 16 hour(s), 21 minute(s)","3 day(s), 16 hour(s), 21 minute(s)"
BIDH,Trailer,CP0005,Empty,HMK4,PS220,,"3 day(s), 16 hour(s), 50 minute(s)","1 day(s), 18 hour(s), 29 minute(s)"
BIDH,Skirted Trailer,W98386,Empty,HAT2,DD133,,"3 day(s), 14 hour(s), 26 minute(s)","2 day(s), 12 hour(s), 37 minute(s)"
